route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
nir:1501A: :R:mtt,,1A,Bus 1A,Glenville - Fairview Road - Carnmoney - City Centre,3,,,
nir:19307:C:H:y14,,307C,Bus 307C,Town Service Beverley Heights,3,,,
nir:0816A: :R:y14,,16A,Bus 16A,Ballyhornan - Downpatrick,3,,,
nir:15030:A:R:mtt,,30A,Bus 30A,Upper Knockbreda Road - Mount Merrion - City Centre,3,,,
nir:07003:3:R:y14,,33,Bus 33,Dublin - Dublin Airport - Derry~Londonderry,3,,,
nir:21FY1:D:R:y14,,FY1,Bus FY1,Strathfoyle - City Centre,3,,,
nir:21FY5: :H:y14,,FY5,Bus FY5,City Centre - Altnagelvin - Gobnascale,3,,,
nir:09377:B:H:y14,,377B,Bus 377B,Dungannon - Town Service,3,,,
nir:09086:B:H:y14,,86B,Bus 86B,Dungannon - Castlecaulfield - Cappagh,3,,,
nir:06046:C:H:y14,,46C,Bus 46C,Lurgan - Portadown,3,,,
nir:21FY1:E:H:y14,,FY16,Bus FY16,Towards Culmore or Muff,3,,,
nir:19003: :H:y14,,3,Bus 3,Bangor - Ballywalter,3,,,
nir:02061:A:H:y14,,61,Bus 61,"Craigavon, Rushmere Centre - Armagh, Buscentre",3,,,
nir:0816C: :R:y14,,16c,Bus 16c,"Ballykinler, Camp - Downpatrick, Bus Station",3,,,
nir:15003:0:R:mtt,,30,Bus 30,Upper Knockbreda Road - Mount Merrion - City Centre,3,,,
nir:08014: :R:y14,,14,Bus 14,"Shrigley, Mill - Downpatrick, Bus Station",3,,,
nir:06352:C:H:y14,,352D,Bus 352D,Lurgan Town Service,3,,,
nir:13106: :R:y14,,106,Bus 106,"Crumlin, Main Street - Belfast, Europa/GVS Buscentre",3,,,
nir:15001:9:R:mtt,,19,Bus 19,Dundonald - Tullycarnet - City Centre,3,,,
nir:08001:7:H:y14,,17,Bus 17,Downpatrick - Newcastle,3,,,
nir:15001:E:H:mtt,,1E,Bus 1E,City Centre - Roughfort,3,,,
nir:15008:B:R:mtt,,8B,Bus 8B,Malone - City Centre,3,,,
nir:07398:A:H:y14,,398B,Bus 398B,"Strabane, Abercorn Square - Strabane, Abercorn Square",3,,,
nir:15061: :H:mtt,,61,Bus 61,City Centre - Carr's Glen,3,,,
nir:19007:B:R:y14,,7B,Bus 7B,Ballywalter - Newtownards - Belfast,3,,,
nir:15007:A:R:mtt,,7A,Bus 7A,Four Winds - City Centre,3,,,
nir:08320: :H:y14,,320C,Bus 320C,"Newcastle, Bus Station Lay-By - Newcastle, Bus Station Lay-By",3,,,
nir:17004:3:R:y14,,43,Bus 43,Forkhill - Newry,3,,,
nir:03128: :R:y14,,128,Bus 128,"Carnlough - Ballymena, Buscentre",3,,,
nir:05319:B:H:y14,,319c,Bus 319c,Coleraine Mall Bus Stop - Coleraine Mall Bus Stop,3,,,
nir:15004:A:H:mtt,,4A,Bus 4A,City Centre - Dundonald - Ballybeen,3,,,
nir:05178: :R:y14,,178,Bus 178,"Ballycastle, Marine Cnr - Coleraine, Buscentre",3,,,
nir:07024:6:R:y14,,246,Bus 246,Limavady - Dungiven,3,,,
nir:21FY7: :H:y14,,FY7,Bus FY7,City Centre - Lone Moor,3,,,
nir:15010:E:R:mtt,,10E,Bus 10E,Lagmore Mount Eagles - City Centre,3,,,
nir:15007:8:R:mtt,,78,Bus 78,Newtownbreda Tesco - Belvoir - City Centre,3,,,
nir:04502:A:R:y14,,502A,Bus 502A,Bangor - Holywood - Belfast,3,,,
nir:05013:1:R:y14,,131,Bus 131,Ballycastle - Ballymena,3,,,
nir:210FY:8:R:y14,,FY8,Bus FY8,Creggan - City Centre,3,,,
nir:13051:2:H:y14,,512,Bus 512,Belfast - Ballygowan - Raffrey,3,,,
nir:12162:A:H:y14,,162,Bus 162,"Larne, Bus Station - Carnlough",3,,,
nir:15096: :R:mtt,,96,Bus 96,Stena Line Terminal - Westbank Road - Duncrue Road - City Centre,3,,,
nir:15012:B:H:mtt,,12B,Bus 12B,City Centre - Carr's Glen,3,,,
